100.0,0.008,0.006,0.002,0.003,0.003
250.0,0.04,0.028999999999999998,0.002,0.011000000000000001,0.013000000000000001
500.0,0.17,0.134,0.006,0.023,0.034
750.0,0.39399999999999996,0.295,0.009000000000000001,0.04,0.059000000000000004
1000.0,0.7070000000000001,0.59,0.011000000000000001,0.054000000000000006,0.078
1250.0,1.311,0.863,0.013999999999999999,0.067,0.10099999999999999
2500.0,4.631,3.3810000000000002,0.031,0.13699999999999998,0.22399999999999998
3750.0,10.504000000000001,7.5089999999999995,0.044000000000000004,0.243,0.37200000000000005
5000.0,18.972,13.789000000000001,0.057999999999999996,0.302,0.535
6250.0,29.49,22.096999999999998,0.07,0.375,0.716
7500.0,45.464,30.090999999999998,0.083,0.509,0.922
8750.0,74.945,41.62,0.09300000000000001,0.536,1.137
10000.0,77.59100000000001,53.869,0.10300000000000001,0.621,1.41
