100,250,500,750,1000,1250,2500,3750,5000,6250,7500,8750,10000
0.008,0.040,0.170,0.394,0.707,1.311,4.631,10.504,18.972,29.490,45.464,74.945,77.591
0.006,0.029,0.134,0.295,0.590,0.863,3.381,7.509,13.789,22.097,30.091,41.620,53.869
0.002,0.002,0.006,0.009,0.011,0.014,0.031,0.044,0.058,0.070,0.083,0.093,0.103
0.003,0.011,0.023,0.040,0.054,0.067,0.137,0.243,0.302,0.375,0.509,0.536,0.621
0.003,0.013,0.034,0.059,0.078,0.101,0.224,0.372,0.535,0.716,0.922,1.137,1.410
